resort,lat,lon,altitude,north_south,east_west,1985-01,1985-02,1985-03,1985-12,2015-01,2015-02,2015-03,2015-12
bretton-woods,44.259573,-71.461719,299.1827393,north,east,16.100000381469727,16.09999853133522,16.099007570069393,16.099345143930822,16.100000381469727,16.100000381469727,16.09999477385208,16.099597287735577
wildcat-mountain,44.263953,-71.237943,269.0414124,north,east,16.10000038146973,16.09999823061032,16.0997338478075,16.0996725957599,16.10000038146973,16.10000038146973,16.099998108854933,16.099706366749423
mt-eustis-littleton,44.297429,-71.773973,347.5927734,north,east,16.100000381469727,16.099991830678185,16.08046290730762,16.098636240128265,16.100000381469727,16.100000381469727,16.099936806359263,16.099430283462933
deer-mountain,44.308419,-103.818913,1570.972778,north,midwest,16.100000381469727,16.09999937272038,15.708495878877818,16.099670091072728,16.096022994300586,16.0995020843366,1.8814033852992864,16.09127344001311
terry-peak,44.336899,-103.82462,1550.48645,north,midwest,16.099999921233575,16.099997277068717,15.215183528070911,16.0991018444091,16.09040524848041,16.098862766598266,0.85267820802017,16.071113230760798
mt-pisgah,44.344925,-74.125298,467.535675,north,east,16.100000381469727,16.100000381469727,16.098624334147033,16.0982014081755,16.100000381469727,16.100000381469727,16.099992717576068,16.099290074100857
whiteface-lake-placid,44.357867,-73.859582,451.4804077,north,east,16.100000381469723,16.09999648578383,16.095772362854333,16.09602386633608,16.100000381469723,16.100000381469723,16.09993472731518,16.098857979508665
coffee-mill,44.36290865,-92.04315382,340.9333191,north,midwest,16.100000381469727,16.100000381469727,3.5121864841309822,16.099998474121094,16.100000381469727,16.100000381469727,11.007911420887254,16.099922458424885
mt-abram,44.379415,-70.706572,259.6872864,north,east,16.100000381469727,16.099969128455488,16.0262924619185,16.09785536091043,16.100000381469727,16.100000381469727,16.099513013264442,16.098810213270152
cochran,44.3890862,-72.98097957,333.9689636,north,east,16.100000381469727,16.09991411046476,15.999273750657023,16.068153596933072,16.100000381469727,16.100000381469727,16.098891837305896,16.090263767403066
missaukee-mountain,44.392643,-85.227584,296.5439148,north,midwest,16.100000381469727,16.100000381469727,16.006752129671924,16.09789386482464,16.100000381469727,16.100000381469727,16.09688657139517,16.09882439005922
hoodoo-ski-area,44.409234,-121.872238,1225.910156,north,west,13.14426097716611,16.057430309098137,15.336844398243569,16.097475022801724,0.09267994696205416,0.39613458386276185,0.01162178415822036,12.381697003207924
bolton-valley,44.41053296,-72.8641005,332.383606,north,east,16.100000381469727,16.099992846651126,16.093787620169582,16.098311749105434,16.100000381469727,16.100000381469727,16.09993896738719,16.099377983388024
standing-rocks,44.433981,-89.398992,312.7614441,north,midwest,16.100000381469727,16.100000381469727,14.16854025493444,16.099994659423828,16.100000381469727,16.100000381469727,15.739778404702232,16.099910680699818
bruce-mound,44.44555532,-90.78586541,330.8987427,north,midwest,16.100000381469727,16.100000381469727,11.003504120854133,16.099998474121094,16.100000381469727,16.100000381469727,15.519418272367446,16.099973678588867
mount-prospect-lancaster,44.456847,-71.575145,350.4570313,north,east,16.10000038146973,16.099994406410175,16.085059265428505,16.098943119897974,16.10000038146973,16.10000038146973,16.099957307737178,16.099341164886184
winter-park-kewaunee-county,44.460802,-87.559102,169.7023926,north,midwest,16.100000381469727,16.100000381469727,13.73136737471953,16.09904926112624,16.100000381469727,16.100000381469727,15.995415665159646,16.09098892219566
chipmunk,44.47106315,-114.32299,2140.669189,north,rockies,16.099757380474045,16.099985369979862,16.08506995513481,16.099983769392658,14.44402111665921,15.151769022308354,2.6701243076103367,16.093440116900748
sunday-river,44.473126,-70.857466,299.7663574,north,east,16.100000381469727,16.09998547666107,16.07040252583279,16.09898738483516,16.100000381469727,16.100000381469727,16.09979981738457,16.098942868313717
spruce-mountain-jay,44.478835,-70.202974,266.9728699,north,east,16.100000381469723,16.099965354351948,16.03186887384557,16.099362593634012,16.100000381469723,16.100000381469723,16.09946154975778,16.099178219962774
sleeping-giant,44.491871,-109.940844,2443.318604,north,rockies,16.100000381469727,16.100000381469727,16.099785395799014,16.100000381469727,16.09882380034276,16.09967209336992,14.811074146758596,16.099952536641503
triangle-sports-area-green-bay,44.509919,-87.950379,223.7333374,north,midwest,16.10000038146973,16.10000038146973,13.538482219855604,16.099435298574367,16.10000038146973,16.10000038146973,15.837124859028537,16.097645457766824
stowe,44.510799,-72.767531,308.2648315,north,east,16.100000381469727,16.0999958497735,16.094329346429234,16.099188987801412,16.100000381469727,16.100000381469727,16.099948302918424,16.09972480629274
crystal-mountain-mi,44.519979,-85.992254,220.5259705,north,midwest,16.100000381469727,16.100000381469727,15.821486607072835,16.085841869191153,16.100000381469727,16.100000381469727,16.09269537260696,16.09089622509543
powers-bluff,44.532432,-90.071524,345.4717712,north,midwest,16.100000381469727,16.100000381469727,13.985632577803877,16.099998474121094,16.100000381469727,16.100000381469727,15.871291669234676,16.099962194396323
lyndon-outing-club,44.532482,-71.986612,390.1004944,north,east,16.100000381469727,16.09999629061418,16.09351327364305,16.099375167145663,16.100000381469727,16.100000381469727,16.09997255933042,16.099532433736208
welch-village,44.559924,-92.730403,342.0653992,north,midwest,16.100000381469727,16.100000381469727,5.990216464703271,16.100000381469727,16.100000381469727,16.100000381469727,10.970897929603291,16.09998488852189
smugglers-notch,44.571821,-72.776163,288.9397278,north,east,16.100000381469727,16.100000060813237,16.099654983128943,16.09975983642635,16.100000381469727,16.100000381469727,16.099996711223348,16.09991768268697
black-mountain-rumford,44.576797,-70.614249,322.3614807,north,east,16.10000038146973,16.099987930647647,16.080587328593108,16.09921314444648,16.10000038146973,16.10000038146973,16.099847766246697,16.09923950199826
burke-mountain,44.587808,-71.91537,390.2209778,north,east,16.100000381469727,16.09999641359859,16.097396590786197,16.099393546231763,16.100000381469727,16.100000381469727,16.099984050463572,16.09922645834282
navarino-hills,44.609696,-88.584587,284.7875977,north,midwest,16.100000381469727,16.100000381469727,14.614945440268638,16.09999019463512,16.100000381469727,16.100000381469727,15.873012679164336,16.099828730822946
antelope-butte,44.61150867,-107.5152067,1614.55542,north,rockies,16.100000381469727,16.100000381469727,16.099990027895164,16.100000381469727,16.099908687732157,16.09999850453063,16.08859545446415,16.099997566061084
hanson-hills,44.645248,-84.753362,284.3913269,north,midwest,16.100000381469727,16.100000381469727,16.077557536872757,16.09836046312014,16.100000381469727,16.100000381469727,16.09878218346627,16.099429063469582
titcomb-mountain,44.649925,-70.171443,324.2077942,north,east,16.100000381469723,16.099924268223205,16.02804690019386,16.099139876690465,16.100000381469723,16.100000381469723,16.099165615082402,16.09856427138721
tamarack-resort,44.673212,-116.12226,1985.652222,north,rockies,16.0978956207951,16.09954832665936,14.233946583987105,16.099847251282785,13.05884308423531,2.061017730845805,0.029321049001632765,15.223323909250382
buck-hill-ski-area,44.723677,-93.283024,322.9354858,north,midwest,16.100000381469727,16.100000381469727,4.130745152850395,16.100000381469727,16.100000381469727,16.100000381469727,8.796701580745221,16.0999771393292
mt-holiday,44.743033,-85.514247,242.2288361,north,midwest,16.100000381469727,16.100000381469727,15.801548621240482,16.0526450085424,16.100000381469727,16.100000381469727,16.090416110215784,16.07622195500375
titus-mountain,44.7632066,-74.23474594,273.2634583,north,east,16.100000381469727,16.100000282528658,16.098150103567797,16.099162613192465,16.100000381469727,16.100000381469727,16.09997702357597,16.09942163311479
beartown,44.764355,-73.58446,246.6522217,north,east,16.100000381469727,16.099975666648163,16.051515984840453,16.09060885014841,16.100000381469727,16.100000381469727,16.09909180039285,16.095180050324416
eaton-mountain,44.767661,-69.618501,244.6932678,north,east,16.10000038146973,16.0999824554225,16.06090635363669,16.099807814268893,16.10000038146973,16.10000038146973,16.099796856907524,16.099345940334576
hermon-mountain,44.780186,-68.957127,65.71356201,north,east,16.100000381469727,16.099968382440313,16.065207745028307,16.099542295582054,16.100000381469727,16.100000381469727,16.099742336661738,16.09890134194269
pinnacle-park-pittsfield,44.795865,-69.38814,183.5459442,north,east,16.100000381469723,16.099987414734663,16.070889908670065,16.099861797113434,16.100000381469723,16.100000381469723,16.099856862416125,16.099316423279184
hardack-aldis-hill-st-albans,44.81529606,-73.06707555,167.4766083,north,east,16.100000381469727,16.09993856352608,16.019926885804882,16.07244745419153,16.100000381469727,16.100000381469727,16.098244279014533,16.084542040551504
hyland-hills,44.843263,-93.364134,315.2384033,north,midwest,16.100000381469727,16.100000381469727,4.468895222149012,16.100000381469727,16.100000381469727,16.100000381469727,11.75786511746551,16.099977493286133
pinehurst-park-eau-claire,44.85296344,-91.45281491,342.3616638,north,midwest,16.100000381469727,16.100000381469727,10.763998908261572,16.100000381469727,16.100000381469727,16.100000381469727,15.135272748523292,16.099985363061847
afton-alps,44.857297,-92.788883,324.2003784,north,midwest,16.100000381469727,16.100000381469727,6.267116979820766,16.100000381469727,16.100000381469727,16.100000381469727,12.741131399144175,16.09999137859569
the-balsams,44.860744,-71.325919,430.1047363,north,east,16.100000381469727,16.100000381469727,16.09988987073658,16.099954252854026,16.100000381469727,16.100000381469727,16.09999977523029,16.09996500207606
the-homestead-resort,44.91633521,-85.96477941,171.4203949,north,midwest,16.09997824458572,16.099997127505354,15.844440208348963,15.822090558550771,16.09999605620618,16.100000381469727,16.091070567435413,15.890400994761432
little-ski-hill,44.929101,-116.164289,2101.467285,north,rockies,16.099138346118085,16.099688825403124,14.3883344282244,16.09996508185082,15.159003342534795,1.6607834332316733,0.008074205431339777,15.478564073730062
granite-peak-at-rib-mountain-state-park,44.929393,-89.683864,393.0180054,north,midwest,16.100000381469727,16.100000381469727,15.684526928885983,16.100000381469727,16.100000381469727,16.100000381469727,16.042755927467486,16.09999146333223
jay-peak,44.938861,-72.505903,260.7736206,north,east,16.100000381469727,16.100000308157064,16.09983419247374,16.099909378934342,16.100000381469727,16.100000381469727,16.09999807015765,16.099934977247653
shanty-creek-resorts-schuss-mountain,44.942186,-85.133018,271.2694397,north,midwest,16.100000381469723,16.100000381469723,15.922232526395435,16.080246342814497,16.100000381469723,16.100000381469723,16.095535446158717,16.091456330012193
shanty-creek-resorts-summit-mountain,44.946094,-85.19083,263.8448181,north,midwest,16.100000381469727,16.100000381469727,15.902289620923133,16.059594051054805,16.100000381469727,16.100000381469727,16.094354765306736,16.085770503467074
saddleback,44.946892,-70.526025,444.6167603,north,east,16.100000381469727,16.100000381469727,16.099930254243688,16.099979969426904,16.100000381469727,16.100000381469727,16.10000004701289,16.099966716649718
anthony-lakes-mountain-resort,44.963917,-118.234736,1063.820557,north,west,16.077495574767806,16.099991361095316,16.099204933982794,16.09998096090238,10.207897712527751,15.380161230168248,7.401608085164252,16.094059732164848
beartooth-basin,44.975442,-109.433085,1827.071899,north,rockies,16.100000381469727,16.100000381469727,16.100000381469727,16.100000381469727,16.099996979887038,16.100000381469727,16.099873238742454,16.100000381469727
brundage-mountain,45.004383,-116.15546,2143.369873,north,rockies,16.09726439595011,16.099986095073817,16.041122051680095,16.099994387468477,15.435919675704207,12.228421720535271,0.427914603374468,16.06847618564057
otsego-gaylord,45.035936,-84.649282,267.3752747,north,midwest,16.100000381469727,16.100000381469727,16.074671269316674,16.0986191011378,16.100000381469727,16.100000381469727,16.09947502862305,16.09919494531889
treetops,45.037378,-84.585602,264.7745972,north,midwest,16.100000381469727,16.100000381469727,16.071368836916243,16.098118952069072,16.100000381469727,16.100000381469727,16.09932413413419,16.099115336115027
sugarloaf,45.053814,-70.310322,454.2854919,north,east,16.100000381469727,16.099998864291415,16.099542005047542,16.099854911819882,16.100000381469727,16.100000381469727,16.09999450281008,16.099894575448452
boyne-mountain,45.164051,-84.93238,264.6724243,north,midwest,16.100000381469727,16.100000381469727,16.012210769593022,16.08080141471067,16.100000381469727,16.100000381469727,16.097014291424276,16.09512424720549
red-lodge-mountain,45.190566,-109.336904,1652.794678,north,rockies,16.09985128740449,16.09998822464655,16.02955548585428,16.09945364121258,13.814381339552048,16.052935865842176,1.2057129632136805,15.975324751275263
challenge-mountain-walloon-lake,45.23758692,-84.88060285,255.4062347,north,midwest,16.100000381469727,16.100000381469727,16.06379059166194,16.08477933968885,16.100000381469727,16.100000381469727,16.098622800948558,16.096020326162943
yellowstone-club,45.241393,-111.411737,2265.653564,north,rockies,16.09999902085361,16.10000038146973,16.09983163962783,16.10000038146973,16.095653471770746,16.098976355569253,14.60094194967614,16.09997599694555
kettlebowl,45.271773,-88.900065,409.4216614,north,midwest,16.100000381469727,16.100000381469727,15.966580726299933,16.100000381469727,16.100000381469727,16.100000381469727,16.08773297283577,16.099981406921682
ferguson-ridge,45.2819394,-117.1127028,1360.447388,north,west,15.95123452984538,16.09304359234701,12.625961498986397,16.09608202256476,0.4431366688728089,2.20212243955301,0.040135411571387426,11.430457769487788
big-sky-resort,45.28322097,-111.4013082,2252.742432,north,rockies,16.09999869061762,16.100000381469727,16.099810093451673,16.100000381469727,16.092985847531935,16.098719445260166,14.502169149759261,16.099971738802903
mt-hood-skibowl,45.300773,-121.7734,988.758667,north,west,4.099268211127706,15.77770785375733,9.062447238596482,16.02211151982989,0.009403557240538943,0.04075069110938719,0.002211533539996058,2.5031993653131814
timberline-summit-pass,45.303324,-121.745765,989.8406982,north,west,6.519073660677848,16.022511148289894,12.824575443379699,16.086796193547528,0.019094819486628785,0.1731545591783924,0.012538048267575217,7.971934069248715
paul-bunyan-ski-hill,45.3249458,-88.52433374,353.6364136,north,midwest,16.10000038146973,16.10000038146973,15.978087386991517,16.10000028285584,16.10000038146973,16.10000038146973,16.087336660086127,16.099985136419587
timberline,45.330953,-121.713493,991.1704102,north,west,5.996078465163841,16.08296338182562,15.870806353361248,16.09619011843655,1.3196973648429335,4.033516094391322,2.4346886761140993,13.192312053354518
mt-hood-meadows,45.333078,-121.665081,993.175293,north,west,7.85824850950036,16.064062897413226,15.289336073989887,16.096782415114966,0.14800076257446942,3.193111825934766,0.43940375095327394,14.27674648139855
