resort,lat,lon,altitude,north_south,east_west
mt-la-crosse,43.743342,-91.183211,322.9829407,north,midwest
tenney-mountain,43.74661157,-71.76467558,301.362854,north,east
red-hill-moultonborough,43.749287,-71.416282,217.7135315,north,east
nutt-hill-plymouth,43.752132,-87.989751,244.4993286,north,midwest
bogus-basin,43.763764,-116.102378,1455.020996,north,rockies
indian-lake,43.775174,-74.266459,524.8392334,north,east
dartmouth-skiway,43.7887814,-72.09961127,375.196167,north,east
grand-targhee,43.788829,-110.956936,2011.882446,north,rockies
campton-mountain,43.867988,-71.609634,269.7069092,north,east
king-pine-purity-spring-resort,43.868743,-71.088813,151.3557739,north,east
farrs-hill-randolph,43.931287,-72.664458,454.880127,north,east
middlebury-college-snow-bowl,43.938735,-72.958628,496.1589355,north,east
snow-snake,43.95919317,-84.781703,302.3320923,north,midwest
waterville-valley,43.964573,-71.52885,256.6839905,north,east
skyline-friendship,43.982333,-89.820861,266.9672241,north,midwest
mt-bachelor,44.002111,-121.678747,1319.40564,north,west
sand-master-park-florence,44.011788,-124.106416,-73.09503937,north,west
whitetail-ridge-fort-mccoy,44.021457,-90.721931,306.0375671,north,midwest
loon-mountain,44.056509,-71.62969,289.3946838,north,east
cranmore-mountain-resort,44.057484,-71.109535,187.163681,north,east
pleasant-mountain,44.058103,-70.814698,155.6645813,north,east
northeast-slopes-east-corinth,44.072628,-72.250753,387.9704285,north,east
attitash-mountain-resort,44.082352,-71.230035,217.7562714,north,east
nordic-mountain,44.121041,-89.181445,258.4476318,north,midwest
mt-kato,44.133191,-94.034236,307.2962341,north,midwest
sugarbush,44.135287,-72.89625,428.919281,north,east
lost-valley,44.136246,-70.280692,153.2899628,north,east
meadowlark-ski-lodge,44.164332,-107.217084,2037.696655,north,rockies
black-mountain-jackson,44.16653379,-71.1653599,230.2714996,north,east
big-tupper-tupper-lake,44.17324,-74.476384,529.1802368,north,east
cannon-mountain,44.176831,-71.701678,320.8907471,north,east
mad-river-glen,44.202282,-72.918033,405.780365,north,east
camden-snow-bowl,44.216988,-69.135241,17.72471619,north,east
caberfae-peaks,44.24475,-85.718764,274.6734009,north,midwest
steeplechase-ski-area,44.246918,-92.515631,353.5370483,north,midwest
bretton-woods,44.259573,-71.461719,299.1827393,north,east
wildcat-mountain,44.263953,-71.237943,269.0414124,north,east
mt-eustis-littleton,44.297429,-71.773973,347.5927734,north,east
deer-mountain,44.308419,-103.818913,1570.972778,north,midwest
terry-peak,44.336899,-103.82462,1550.48645,north,midwest
mt-pisgah,44.344925,-74.125298,467.535675,north,east
whiteface-lake-placid,44.357867,-73.859582,451.4804077,north,east
coffee-mill,44.36290865,-92.04315382,340.9333191,north,midwest
mt-abram,44.379415,-70.706572,259.6872864,north,east
cochran,44.3890862,-72.98097957,333.9689636,north,east
missaukee-mountain,44.392643,-85.227584,296.5439148,north,midwest
hoodoo-ski-area,44.409234,-121.872238,1225.910156,north,west
