resort,lat,lon,altitude,north_south,east_west,1985-01,1985-02,1985-03,1985-12,2015-01,2015-02,2015-03,2015-12
maple-ski-ridge,42.81669055,-74.02967911,196.3108521,north,east,133.90825008761715,199.77757754388088,240.95583262660057,171.37233316104525,154.5257340011554,183.52323124874403,280.3137678954189,189.7755420509143
toggenburg-ski-center,42.825648,-75.960042,219.4165649,north,east,139.7978063313931,220.94658950825055,181.2333623697757,155.6299987945646,222.42894489544432,215.53609271474684,325.38096100188284,209.40290582700658
mt-holly,42.83072267,-83.56489359,237.16922,north,midwest,165.8053112941451,234.4549088263972,258.1860059195977,128.6206951340941,163.19761230028112,217.40387776669454,278.3683629701158,
living-memorial-park-brattleboro,42.84789,-72.585845,496.8717041,north,east,141.23378447379525,217.4494114722521,306.0614996483073,198.02305349306027,184.58663251334366,199.328872580511,335.62646820577936,224.56940494625752
the-rock-snowpark,42.92000775,-88.01603617,228.303009,north,midwest,195.61814582667026,234.75403095728228,242.5936548969153,128.99292299251596,147.29612625778503,210.03988971788084,286.48892013552796,136.00922096597992
haystack-mountain-the-hermitage-club,42.923423,-72.895763,613.2310181,north,east,152.6014443873099,232.25326327325712,289.58513350538914,200.6983169282563,244.4075934503341,234.594732505111,345.99416703131936,244.83690452118506
mount-snow,42.966814,-72.89485,627.5233765,north,east,145.13204496832563,221.99935824864022,229.65667554973993,186.75913638583108,184.92840883124174,206.68655833110964,321.9109315768857,233.36457152317217
granite-gorge,42.970635,-72.212133,415.4725952,north,east,136.5513195707768,203.4339183045042,280.9202687101878,175.36446083307754,146.89826559633838,200.6616812333536,336.6623011591277,217.65673673876012
cazenovia,42.976909,-75.852665,191.1867828,north,east,137.47854336362246,218.39306661094173,165.40236030815768,133.1135946137752,176.94937236338203,198.6632872545654,304.06946854210827,195.47441129095432
white-pine-pinedale,42.977325,-109.75792,2185.422852,north,rockies,272.52164028252247,273.062238796047,304.4569330382253,221.73794708142202,268.56994365426556,320.8080380222115,382.6055012360963,216.53414598160109
mcintyre,43.006085,-71.440863,175.3530884,north,east,148.49597530632144,209.76567180529108,214.5578087216163,216.23271682003772,127.10051091836172,202.25255493492782,341.4038995763623,227.072877715055
crotched-mountain,43.011316,-71.877515,315.7561646,north,east,157.77602605777443,214.71593374099209,241.10460959030777,187.5705639958773,137.10800632127217,199.0581807187305,333.7752437076861,218.07623231908207
the-ridge-le-roy,43.020571,-77.953745,253.4979095,north,east,146.73158868411306,236.41419592103006,175.41851841754914,132.44688755784364,143.9619879901325,192.97074588355898,303.9010800229026,151.50598054823632
willard-mountain-greenwich,43.021237,-73.517474,443.7146912,north,east,134.80831224457302,197.8180944868801,274.78044548781145,165.54744291189124,150.16573930810944,183.87234727176664,302.2599582445587,204.64494231435222
four-seasons,43.03513332,-75.97246397,186.7418976,north,east,137.15419637095948,214.56172406215373,183.47346596941918,124.50369615511012,162.32540239658766,186.42228622141766,297.1694011490265,172.12501644268602
tyrol-basin-mt-horeb,43.04568351,-89.78254969,323.8820496,north,midwest,159.66696926116066,199.52949841140023,171.8758541257115,123.99772320519263,133.02737185748018,201.04788262836846,276.8589769672018,162.08248355544563
cannonsburg,43.05341343,-85.50186255,211.9803619,north,midwest,213.1994745318383,254.74015461385036,346.4285057796723,137.72736475263625,199.82927417419387,221.85947555887122,276.7695737066254,161.35609769196887
