resort,url,maps_url,lat,lon,altitude,beg,int,adv
granby-ranch,https://www.skiresort.info/ski-resort/granby-ranch/,"https://www.google.com/maps?q=40.044327,-105.905419",40.044327,-105.905419,2700.263916,30,50,20
hidden-valley-pa,https://www.skiresort.info/ski-resort/hidden-valley-pa/,"https://www.google.com/maps?q=40.0577708193866,-79.25692879979769",40.05777082,-79.2569288,607.9041138,45,33,22
roundtop,https://www.skiresort.info/ski-resort/roundtop/,"https://www.google.com/maps?q=40.109506,-76.926586",40.109506,-76.926586,159.7716827,20,40,40
laurel-mountain,https://www.skiresort.info/ski-resort/laurel-mountain/,"https://www.google.com/maps?q=40.163662,-79.166446",40.163662,-79.166446,628.4156494,49,37,14
stagecoach-mountain,https://www.skiresort.info/ski-resort/stagecoach-mountain/,"https://www.google.com/maps?q=40.252430,-106.857126",40.25243,-106.857126,2853.315186,,,
spring-mountain,https://www.skiresort.info/ski-resort/spring-mountain/,"https://www.google.com/maps?q=40.271747,-75.450116",40.271747,-75.450116,146.4038849,47,29,24
blue-knob,https://www.skiresort.info/ski-resort/blue-knob/,"https://www.google.com/maps?q=40.288778,-78.563751",40.288778,-78.563751,530.4283447,31,50,19
stover-mountain,https://www.skiresort.info/ski-resort/stover-mountain/,"https://www.google.com/maps?q=40.29050222689264,-121.28848931432071",40.29050223,-121.2884893,1059.175415,40,40,20
mad-river-mountain,https://www.skiresort.info/ski-resort/mad-river-mountain/,"https://www.google.com/maps?q=40.316621,-83.678384",40.316621,-83.678384,281.0569763,47,31,22
coppervale,https://www.skiresort.info/ski-resort/coppervale/,"https://www.google.com/maps?q=40.345341,-120.903829",40.345341,-120.903829,1413.209473,33,67,
infinity-slopes-loveland,https://www.skiresort.info/ski-resort/infinity-slopes-loveland/,"https://www.google.com/maps?q=40.380420935386105,-105.08379320714747",40.38042094,-105.0837932,1809.206421,100,,
sundance,https://www.skiresort.info/ski-resort/sundance/,"https://www.google.com/maps?q=40.391418,-111.57893",40.391418,-111.57893,1911.414185,34,46,20
hoedown-hill-windsor,https://www.skiresort.info/ski-resort/hoedown-hill-windsor/,"https://www.google.com/maps?q=40.453945,-104.929665",40.453945,-104.929665,1740.32605,50,50,
steamboat,https://www.skiresort.info/ski-resort/steamboat/,"https://www.google.com/maps?q=40.45724,-106.804345",40.45724,-106.804345,2755.007568,15,58,27
boyce-park,https://www.skiresort.info/ski-resort/boyce-park/,"https://www.google.com/maps?q=40.46127200583641,-79.74778779025117",40.46127201,-79.74778779,409.0328674,100,,
bear-creek-mountain-resort,https://www.skiresort.info/ski-resort/bear-creek-mountain-resort/,"https://www.google.com/maps?q=40.476172,-75.626509",40.476172,-75.626509,212.4966583,30,40,30
