resort,url,maps_url,lat,lon
gore-mountain,https://www.skiresort.info/ski-resort/gore-mountain/,"https://www.google.com/maps?q=43.67356270915812,-74.00791936403081",43.67356270915812,-74.00791936403081
bridger-bowl-bozeman,https://www.skiresort.info/ski-resort/bridger-bowl-bozeman/,"https://www.google.com/maps?q=45.817263,-110.897402",45.817263,-110.897402
bogus-basin,https://www.skiresort.info/ski-resort/bogus-basin/,"https://www.google.com/maps?q=43.763764,-116.102378",43.763764,-116.102378
kirkwood,https://www.skiresort.info/ski-resort/kirkwood/,"https://www.google.com/maps?q=38.683211,-120.067869",38.683211,-120.067869
mount-washington,https://www.skiresort.info/ski-resort/mount-washington/,"https://www.google.com/maps?q=49.74196209891872,-125.30383823849697",49.74196209891872,-125.30383823849697
crystal-mountain-wa,https://www.skiresort.info/ski-resort/crystal-mountain-wa/,"https://www.google.com/maps?q=46.934635,-121.475235",46.934635,-121.475235
hunter-mountain,https://www.skiresort.info/ski-resort/hunter-mountain/,"https://www.google.com/maps?q=42.204298,-74.211836",42.204298,-74.211836
loon-mountain,https://www.skiresort.info/ski-resort/loon-mountain/,"https://www.google.com/maps?q=44.056509,-71.62969",44.056509,-71.62969
tamarack-resort,https://www.skiresort.info/ski-resort/tamarack-resort/,"https://www.google.com/maps?q=44.673212,-116.122260",44.673212,-116.122260
apache,https://www.skiresort.info/ski-resort/apache/,"https://www.google.com/maps?q=33.3970139573004,-105.78826037247423",33.3970139573004,-105.78826037247423
timberline,https://www.skiresort.info/ski-resort/timberline/,"https://www.google.com/maps?q=45.330953,-121.713493",45.330953,-121.713493
stevens-pass,https://www.skiresort.info/ski-resort/stevens-pass/,"https://www.google.com/maps?q=47.743836,-121.091588",47.743836,-121.091588
arizona-snowbowl,https://www.skiresort.info/ski-resort/arizona-snowbowl/,"https://www.google.com/maps?q=35.330042,-111.710106",35.330042,-111.710106
windham-mountain,https://www.skiresort.info/ski-resort/windham-mountain/,"https://www.google.com/maps?q=42.297955,-74.257908",42.297955,-74.257908
grand-targhee,https://www.skiresort.info/ski-resort/grand-targhee/,"https://www.google.com/maps?q=43.788829,-110.956936",43.788829,-110.956936
mt-hood-skibowl,https://www.skiresort.info/ski-resort/mt-hood-skibowl/,"https://www.google.com/maps?q=45.300773,-121.7734",45.300773,-121.7734
holiday-valley,https://www.skiresort.info/ski-resort/holiday-valley/,"https://www.google.com/maps?q=42.261518,-78.668675",42.261518,-78.668675
cannon-mountain,https://www.skiresort.info/ski-resort/cannon-mountain/,"https://www.google.com/maps?q=44.176831,-71.701678",44.176831,-71.701678
discovery-ski-area,https://www.skiresort.info/ski-resort/discovery-ski-area/,"https://www.google.com/maps?q=46.249154,-113.237923",46.249154,-113.237923
attitash-mountain-resort,https://www.skiresort.info/ski-resort/attitash-mountain-resort/,"https://www.google.com/maps?q=44.082352,-71.230035",44.082352,-71.230035
brian-head,https://www.skiresort.info/ski-resort/brian-head/,"https://www.google.com/maps?q=37.692907,-112.847212",37.692907,-112.847212
