resort,url,maps_url,lat,lon,altitude,beg,int,adv,geometry
purgatory-durango,https://www.skiresort.info/ski-resort/purgatory-durango/,"https://www.google.com/maps?q=37.629341,-107.814996",37.629341,-107.814996,2514.126709,18.0,47.0,35.0,POINT (-107.81499747693579 37.62934098691822)
mammoth-mountain,https://www.skiresort.info/ski-resort/mammoth-mountain/,"https://www.google.com/maps?q=37.65126810468928,-119.03808832168579",37.6512681,-119.0380883,1976.289795,20.0,54.0,26.0,POINT (-119.03808527491144 37.65126298712761)
badger-pass,https://www.skiresort.info/ski-resort/badger-pass/,"https://www.google.com/maps?q=37.661718,-119.664132",37.661718,-119.664132,1413.8302,35.0,50.0,15.0,POINT (-119.66413391482935 37.6617113091629)
brian-head,https://www.skiresort.info/ski-resort/brian-head/,"https://www.google.com/maps?q=37.692907,-112.847212",37.692907,-112.847212,1798.820923,27.0,42.0,31.0,POINT (-112.84721095599872 37.692906253669406)
june-mountain,https://www.skiresort.info/ski-resort/june-mountain/,"https://www.google.com/maps?q=37.767891,-119.090585",37.767891,-119.090585,1925.334473,15.0,40.0,45.0,POINT (-119.09058257860626 37.7678863109683)
kendall-mountain-silverton,https://www.skiresort.info/ski-resort/kendall-mountain-silverton/,"https://www.google.com/maps?q=37.811174,-107.656118",37.811174,-107.656118,2805.816406,59.0,29.0,12.0,POINT (-107.65611953475509 37.8111720821844)
silverton-mountain,https://www.skiresort.info/ski-resort/silverton-mountain/,"https://www.google.com/maps?q=37.884149,-107.665809",37.884149,-107.665809,2850.882324,,,,POINT (-107.66580959143752 37.88414677031783)
wintergreen-resort,https://www.skiresort.info/ski-resort/wintergreen-resort/,"https://www.google.com/maps?q=37.920292,-78.938969",37.920292,-78.938969,403.7949524,20.0,40.0,40.0,POINT (-78.9389715121725 37.92029260076468)
telluride,https://www.skiresort.info/ski-resort/telluride/,"https://www.google.com/maps?q=37.937173,-107.820766",37.937173,-107.820766,2710.873291,9.0,58.0,33.0,POINT (-107.82076485353045 37.937170990172014)
the-omni-homestead,https://www.skiresort.info/ski-resort/the-omni-homestead/,"https://www.google.com/maps?q=37.99667127039012,-79.82435599339574",37.99667127,-79.82435599,786.4300537,52.0,41.0,7.0,POINT (-79.82435887535343 37.99667292648009)
lake-city-ski-hill,https://www.skiresort.info/ski-resort/lake-city-ski-hill/,"https://www.google.com/maps?q=38.010959,-107.311915",38.010959,-107.311915,3363.0625,70.0,30.0,,POINT (-107.31191588999987 38.01095694037252)
lees-ski-hill-ouray,https://www.skiresort.info/ski-resort/lees-ski-hill-ouray/,"https://www.google.com/maps?q=38.019359,-107.669219",38.019359,-107.669219,2937.004395,100.0,,,POINT (-107.66921801256542 38.019356204743026)
dodge-ridge,https://www.skiresort.info/ski-resort/dodge-ridge/,"https://www.google.com/maps?q=38.18922,-119.956171",38.18922,-119.956171,1691.334839,20.0,40.0,40.0,POINT (-119.95617299226886 38.189211449894735)
cimarron-mountain-club,https://www.skiresort.info/ski-resort/cimarron-mountain-club/,"https://www.google.com/maps?q=38.296964,-107.617037",38.296964,-107.617037,3014.178467,,,,POINT (-107.6170346781438 38.29696133469321)
eagle-point,https://www.skiresort.info/ski-resort/eagle-point/,"https://www.google.com/maps?q=38.317114,-112.386361",38.317114,-112.386361,1981.117798,30.0,45.0,25.0,POINT (-112.38636042863641 38.317112589153126)
massanutten,https://www.skiresort.info/ski-resort/massanutten/,"https://www.google.com/maps?q=38.403059,-78.755633",38.403059,-78.755633,387.8514404,25.0,44.0,31.0,POINT (-78.755632612928 38.40305860430837)
snowshoe-mountain,https://www.skiresort.info/ski-resort/snowshoe-mountain/,"https://www.google.com/maps?q=38.414703,-79.984106",38.414703,-79.984106,773.4474487,46.0,35.0,19.0,POINT (-79.98410898705633 38.41470409946964)
bear-valley,https://www.skiresort.info/ski-resort/bear-valley/,"https://www.google.com/maps?q=38.493096,-120.045478",38.493096,-120.045478,1698.449829,25.0,41.0,34.0,POINT (-120.04547686979139 38.49308699557845)
monarch,https://www.skiresort.info/ski-resort/monarch/,"https://www.google.com/maps?q=38.511429,-106.332427",38.511429,-106.332427,2871.58252,16.0,45.0,39.0,POINT (-106.33242963766024 38.511427984790394)
hidden-valley-mo,https://www.skiresort.info/ski-resort/hidden-valley-mo/,"https://www.google.com/maps?q=38.53639,-90.652407",38.53639,-90.652407,218.8961639,25.0,50.0,25.0,POINT (-90.65240631105601 38.53639378422834)
paoli-peaks,https://www.skiresort.info/ski-resort/paoli-peaks/,"https://www.google.com/maps?q=38.555066,-86.512048",38.555066,-86.512048,151.2902679,39.0,46.0,15.0,POINT (-86.5120489479411 38.555067624839324)
cranor-ski-hill-gunnison,https://www.skiresort.info/ski-resort/cranor-ski-hill-gunnison/,"https://www.google.com/maps?q=38.586793,-106.895685",38.586793,-106.895685,3327.205566,82.0,18.0,,POINT (-106.89568793999288 38.58679267599122)
kirkwood,https://www.skiresort.info/ski-resort/kirkwood/,"https://www.google.com/maps?q=38.683211,-120.067869",38.683211,-120.067869,1720.667358,23.0,46.0,31.0,POINT (-120.06786519985587 38.683202242096066)
fairfax-peak-planned,https://www.skiresort.info/ski-resort/fairfax-peak-planned/,"https://www.google.com/maps?q=38.686479,-77.251346",38.686479,-77.251346,134.3336639,100.0,,,POINT (-77.25134797331408 38.68647926916198)
sierra-at-tahoe,https://www.skiresort.info/ski-resort/sierra-at-tahoe/,"https://www.google.com/maps?q=38.80058342532893,-120.07898891288043",38.80058343,-120.0789889,1739.307739,26.0,49.0,25.0,POINT (-120.07898331919208 38.80057545768585)
bryce-resort,https://www.skiresort.info/ski-resort/bryce-resort/,"https://www.google.com/maps?q=38.816756,-78.766501",38.816756,-78.766501,411.5587158,40.0,56.0,4.0,POINT (-78.7665007386602 38.81675579878658)
ski-maxx-colorado-springs,https://www.skiresort.info/ski-resort/ski-maxx-colorado-springs/,"https://www.google.com/maps?q=38.895854,-104.83805",38.895854,-104.83805,2608.949951,100.0,,,POINT (-104.83804856087613 38.89585108580127)
crested-butte,https://www.skiresort.info/ski-resort/crested-butte/,"https://www.google.com/maps?q=38.898836,-106.965439",38.898836,-106.965439,3216.984619,26.0,57.0,17.0,POINT (-106.96544139878169 38.89883498066361)
