resort,url,maps_url,lat,lon,altitude
big-sky-resort,https://www.skiresort.info/ski-resort/big-sky-resort/,"https://www.google.com/maps?q=45.28322096788464,-111.40130817890167",45.28322096788464,-111.40130817890169,2252.742431640625
solitude,https://www.skiresort.info/ski-resort/solitude/,"https://www.google.com/maps?q=40.623517,-111.59829",40.623517,-111.59829,1822.1671142578125
kicking-horse-golden,https://www.skiresort.info/ski-resort/kicking-horse-golden/,"https://www.google.com/maps?q=51.297611,-117.048597",51.297611,-117.048597,2208.60107421875
brighton,https://www.skiresort.info/ski-resort/brighton/,"https://www.google.com/maps?q=40.597279,-111.584406",40.597279,-111.584406,1845.1429443359375
aspen-highlands,https://www.skiresort.info/ski-resort/aspen-highlands/,"https://www.google.com/maps?q=39.180942,-106.855913",39.180942,-106.855913,3097.55078125
marmot-basin-jasper,https://www.skiresort.info/ski-resort/marmot-basin-jasper/,"https://www.google.com/maps?q=52.800177,-118.082632",52.800177,-118.082632,1995.7349853515625
kimberley,https://www.skiresort.info/ski-resort/kimberley/,"https://www.google.com/maps?q=49.688733,-116.005572",49.688733,-116.005572,1924.16796875
stoneham,https://www.skiresort.info/ski-resort/stoneham/,"https://www.google.com/maps?q=47.027199,-71.384842",47.027199,-71.384842,250.1400604248047
copper-mountain,https://www.skiresort.info/ski-resort/copper-mountain/,"https://www.google.com/maps?q=39.49901996555826,-106.14614527945103",39.49901996555826,-106.14614527945103,2872.693115234375
jackson-hole,https://www.skiresort.info/ski-resort/jackson-hole/,"https://www.google.com/maps?q=43.588652,-110.828308",43.588652,-110.828308,2033.9002685546875
revelstoke-mountain-resort,https://www.skiresort.info/ski-resort/revelstoke-mountain-resort/,"https://www.google.com/maps?q=50.958363,-118.163675",50.958363,-118.163675,1590.1845703125
crested-butte,https://www.skiresort.info/ski-resort/crested-butte/,"https://www.google.com/maps?q=38.898836,-106.965439",38.898836,-106.965439,3216.984619140625
nakiska,https://www.skiresort.info/ski-resort/nakiska/,"https://www.google.com/maps?q=50.942587,-115.153128",50.942587,-115.153128,1675.8736572265625
buttermilk-mountain,https://www.skiresort.info/ski-resort/buttermilk-mountain/,"https://www.google.com/maps?q=39.205345,-106.860261",39.205345,-106.860261,3094.887451171875
mt-bachelor,https://www.skiresort.info/ski-resort/mt-bachelor/,"https://www.google.com/maps?q=44.002111,-121.678747",44.002111,-121.678747,1319.4056396484375
bald-mountain-sun-valley,https://www.skiresort.info/ski-resort/bald-mountain-sun-valley/,"https://www.google.com/maps?q=43.67035710594862,-114.36798373036906",43.67035710594862,-114.36798373036906,1941.64697265625
sommet-saint-sauveur,https://www.skiresort.info/ski-resort/sommet-saint-sauveur/,"https://www.google.com/maps?q=45.885176,-74.149872",45.885176,-74.149872,349.8367004394531
